,x
EE50.SLX.8966.N701_N501.bam,76
EE50.SLX.8966.N701_N502.bam,117
EE50.SLX.8966.N701_N503.bam,34
EE50.SLX.8966.N701_N504.bam,530
EE50.SLX.8966.N701_N505.bam,829
EE50.SLX.8966.N701_N506.bam,74
EE50.SLX.8966.N701_N507.bam,766
EE50.SLX.8966.N701_N508.bam,920
EE50.SLX.8966.N702_N501.bam,935
EE50.SLX.8966.N702_N502.bam,547
EE50.SLX.8966.N702_N503.bam,21
EE50.SLX.8966.N702_N504.bam,852
EE50.SLX.8966.N702_N505.bam,65
EE50.SLX.8966.N702_N506.bam,567
EE50.SLX.8966.N702_N507.bam,97
EE50.SLX.8966.N702_N508.bam,145
EE50.SLX.8966.N703_N501.bam,459
EE50.SLX.8966.N703_N502.bam,743
EE50.SLX.8966.N703_N503.bam,33
EE50.SLX.8966.N703_N504.bam,105
EE50.SLX.8966.N703_N505.bam,62
EE50.SLX.8966.N703_N506.bam,81
EE50.SLX.8966.N703_N507.bam,714
EE50.SLX.8966.N703_N508.bam,85
EE50.SLX.8966.N704_N501.bam,70
EE50.SLX.8966.N704_N502.bam,946
EE50.SLX.8966.N704_N503.bam,96
EE50.SLX.8966.N704_N504.bam,538
EE50.SLX.8966.N704_N505.bam,1601
EE50.SLX.8966.N704_N506.bam,678
EE50.SLX.8966.N704_N507.bam,770
EE50.SLX.8966.N704_N508.bam,1167
EE50.SLX.8966.N705_N501.bam,466
EE50.SLX.8966.N705_N502.bam,611
EE50.SLX.8966.N705_N503.bam,203
EE50.SLX.8966.N705_N504.bam,492
EE50.SLX.8966.N705_N505.bam,611
EE50.SLX.8966.N705_N506.bam,2637
EE50.SLX.8966.N705_N507.bam,1165
EE50.SLX.8966.N705_N508.bam,135
EE50.SLX.8966.N706_N501.bam,693
EE50.SLX.8966.N706_N502.bam,184
EE50.SLX.8966.N706_N503.bam,40
EE50.SLX.8966.N706_N504.bam,117
EE50.SLX.8966.N706_N505.bam,99
EE50.SLX.8966.N706_N506.bam,610
EE50.SLX.8966.N706_N507.bam,612
EE50.SLX.8966.N706_N508.bam,81
EE50.SLX.8966.N707_N501.bam,774
EE50.SLX.8966.N707_N502.bam,600
EE50.SLX.8966.N707_N503.bam,1030
EE50.SLX.8966.N707_N504.bam,1179
EE50.SLX.8966.N707_N505.bam,124
EE50.SLX.8966.N707_N506.bam,261
EE50.SLX.8966.N707_N507.bam,654
EE50.SLX.8966.N707_N508.bam,1247
EE50.SLX.8966.N708_N501.bam,121
EE50.SLX.8966.N708_N502.bam,132
EE50.SLX.8966.N708_N503.bam,144
EE50.SLX.8966.N708_N504.bam,113
EE50.SLX.8966.N708_N505.bam,661
EE50.SLX.8966.N708_N506.bam,611
EE50.SLX.8966.N708_N507.bam,136
EE50.SLX.8966.N708_N508.bam,695
EE50.SLX.8966.N709_N501.bam,3003
EE50.SLX.8966.N709_N502.bam,536
EE50.SLX.8966.N709_N503.bam,31
EE50.SLX.8966.N709_N504.bam,531
EE50.SLX.8966.N709_N505.bam,372
EE50.SLX.8966.N709_N506.bam,441
EE50.SLX.8966.N709_N507.bam,1153
EE50.SLX.8966.N709_N508.bam,610
EE50.SLX.8966.N710_N501.bam,103
EE50.SLX.8966.N710_N502.bam,1039
EE50.SLX.8966.N710_N503.bam,58
EE50.SLX.8966.N710_N504.bam,199
EE50.SLX.8966.N710_N505.bam,107
EE50.SLX.8966.N710_N506.bam,640
EE50.SLX.8966.N710_N507.bam,1470
EE50.SLX.8966.N710_N508.bam,751
EE50.SLX.8966.N711_N501.bam,99
EE50.SLX.8966.N711_N502.bam,762
EE50.SLX.8966.N711_N503.bam,55
EE50.SLX.8966.N711_N504.bam,66
EE50.SLX.8966.N711_N505.bam,84
EE50.SLX.8966.N711_N506.bam,165
EE50.SLX.8966.N711_N507.bam,1044
EE50.SLX.8966.N711_N508.bam,90
EE50.SLX.8966.N712_N501.bam,48
EE50.SLX.8966.N712_N502.bam,520
EE50.SLX.8966.N712_N503.bam,50
EE50.SLX.8966.N712_N504.bam,879
EE50.SLX.8966.N712_N505.bam,527
EE50.SLX.8966.N712_N506.bam,66
EE50.SLX.8966.N712_N507.bam,351
EE50.SLX.8966.N712_N508.bam,1180
