AUROC,Dataset
0.644827586206897,Biase
0.584722222222222,Biase
0.6,Biase
0.55,Biase
0.555172413793103,Biase
0.551724137931034,Biase
0.633333333333334,Biase
0.505172413793104,Biase
0.536111111111111,Biase
0.543103448275862,Biase
0.602777777777778,Biase
0.553448275862069,Biase
0.588793103448276,Biase
0.648275862068965,Biase
0.522413793103448,Biase
0.586111111111111,Biase
0.63448275862069,Biase
0.558620689655173,Biase
0.641666666666667,Biase
0.541379310344828,Biase
0.572413793103448,Biase
0.589655172413793,Biase
0.510344827586207,Biase
0.543965517241379,Biase
0.680172413793103,Biase
0.626724137931035,Biase
0.616666666666667,Biase
0.561111111111111,Biase
0.620689655172414,Biase
0.517241379310345,Biase
0.581034482758621,Biase
0.502777777777778,Biase
0.613888888888889,Biase
0.593055555555556,Biase
0.529166666666667,Biase
0.601388888888889,Biase
0.544827586206897,Biase
0.658333333333333,Biase
0.601724137931035,Biase
0.558620689655172,Biase
0.527586206896552,Biase
0.619444444444444,Biase
0.527586206896552,Biase
0.666666666666667,Biase
0.608333333333334,Biase
0.592241379310345,Biase
0.572413793103448,Biase
0.788888888888889,Biase
0.555555555555556,Biase
0.544827586206897,Biase
0.605172413793103,Biase
0.569444444444445,Biase
0.677586206896552,Biase
0.718965517241379,Biase
0.574137931034483,Biase
0.675,Biase
0.587931034482759,Biase
0.552777777777778,Biase
0.513888888888889,Biase
0.525,Biase
0.512068965517241,Biase
0.563793103448276,Biase
0.541379310344827,Biase
0.647222222222222,Biase
0.560344827586207,Biase
0.542241379310345,Biase
0.630555555555556,Biase
0.655172413793103,Biase
0.605172413793103,Biase
0.546551724137931,Biase
0.576388888888889,Biase
0.55,Biase
0.586111111111111,Biase
0.636206896551724,Biase
0.540277777777778,Biase
0.579310344827586,Biase
0.601388888888889,Biase
0.608333333333333,Biase
0.551724137931034,Biase
0.557758620689655,Biase
0.658620689655172,Biase
0.527777777777778,Biase
0.570689655172414,Biase
0.718965517241379,Biase
0.618055555555556,Biase
0.601724137931034,Biase
0.543103448275862,Biase
0.532758620689655,Biase
0.512931034482759,Biase
0.606034482758621,Biase
0.579310344827586,Biase
0.550862068965517,Biase
0.617241379310345,Biase
0.551388888888889,Biase
0.722222222222222,Biase
0.580555555555555,Biase
0.568055555555556,Biase
0.697222222222222,Biase
0.575,Biase
0.555172413793103,Biase
0.559722222222222,Biase
0.658333333333333,Biase
0.520689655172414,Biase
0.513888888888889,Biase
0.575862068965517,Biase
0.567241379310345,Biase
0.556896551724138,Biase
0.585344827586207,Biase
0.625,Biase
0.523611111111111,Biase
0.537931034482759,Biase
0.580172413793103,Biase
0.544827586206897,Biase
0.6,Biase
0.562068965517241,Biase
0.541379310344827,Biase
0.587068965517241,Biase
0.6,Biase
0.579310344827586,Biase
0.527586206896552,Biase
0.630555555555556,Biase
0.541666666666667,Biase
0.710344827586207,Biase
0.656896551724138,Biase
0.582758620689655,Biase
0.569444444444444,Biase
0.611111111111111,Biase
0.556896551724138,Biase
0.633333333333333,Biase
0.589655172413793,Biase
0.592241379310345,Biase
0.563888888888889,Biase
0.577777777777778,Biase
0.576388888888889,Biase
0.548275862068966,Biase
0.543103448275862,Biase
0.555555555555556,Biase
0.631944444444444,Biase
0.805555555555556,Biase
0.588793103448276,Biase
0.573611111111111,Biase
0.619827586206896,Biase
0.660344827586207,Biase
0.593965517241379,Biase
0.726388888888889,Biase
0.562931034482759,Biase
0.53448275862069,Biase
0.579166666666667,Biase
0.524137931034483,Biase
0.555172413793103,Biase
0.541666666666667,Biase
0.518965517241379,Biase
0.579310344827586,Biase
0.539655172413793,Biase
0.538888888888889,Biase
0.705172413793103,Biase
0.722222222222222,Biase
0.58448275862069,Biase
0.6,Biase
0.543103448275862,Biase
0.548275862068966,Biase
0.601724137931035,Biase
0.542241379310345,Biase
0.575862068965517,Biase
0.598275862068966,Biase
0.595833333333333,Biase
0.565277777777778,Biase
0.666666666666667,Biase
0.555172413793103,Biase
0.625,Biase
0.527586206896552,Biase
0.530172413793103,Biase
0.55,Biase
0.594827586206896,Biase
0.525,Biase
0.521551724137931,Biase
0.522413793103448,Biase
0.528448275862069,Biase
0.556896551724138,Biase
0.624137931034483,Biase
0.627777777777778,Biase
0.581034482758621,Biase
0.717241379310345,Biase
0.544827586206897,Biase
0.587931034482759,Biase
0.568103448275862,Biase
0.54051724137931,Biase
0.566379310344828,Biase
0.544444444444445,Biase
0.577777777777778,Biase
0.594444444444444,Biase
0.523275862068965,Biase
0.619444444444445,Biase
0.548275862068966,Biase
0.519444444444444,Biase
0.573611111111111,Biase
0.608620689655172,Biase
0.556896551724138,Biase
0.560344827586207,Biase
0.755555555555556,Biase
0.579310344827586,Biase
0.508620689655172,Biase
0.702777777777778,Biase
0.560344827586207,Biase
0.569444444444444,Biase
0.628448275862069,Biase
0.579310344827586,Biase
0.520689655172414,Biase
0.51551724137931,Biase
0.636111111111111,Biase
0.519444444444444,Biase
0.577586206896552,Biase
0.558620689655172,Biase
0.548275862068965,Biase
0.551724137931034,Biase
0.6,Biase
0.539655172413793,Biase
0.68448275862069,Biase
0.542241379310345,Biase
0.598275862068966,Biase
0.638888888888889,Biase
0.582758620689655,Biase
