SEURAT,SC3
27,4
24,4
30,19
28,14
24,8
2,31
26,6
26,6
26,6
25,13
24,3
24,4
16,24
24,8
32,27
34,26
24,4
20,4
24,30
34,15
24,1
25,38
25,4
24,4
24,4
31,2
26,6
25,13
31,2
25,4
9,1
26,6
33,12
24,8
24,4
24,4
8,23
34,15
24,4
24,4
24,4
24,4
26,6
34,15
24,4
33,2
20,8
20,8
35,30
26,6
30,29
24,4
24,4
21,22
7,10
34,26
25,13
24,4
2,31
33,30
24,4
7,10
21,22
24,4
24,4
24,8
24,4
1,17
1,17
1,17
1,17
1,17
16,24
22,18
24,1
26,37
24,4
33,20
2,31
3,5
27,6
24,4
4,23
24,8
24,4
24,4
24,4
17,7
30,34
14,23
24,8
12,11
27,12
24,8
33,20
24,8
25,13
34,26
24,4
24,4
28,14
24,4
6,10
24,4
24,4
24,4
24,8
33,4
26,6
33,20
26,6
24,8
24,4
19,22
23,12
14,23
24,8
7,10
24,8
26,6
24,8
33,12
25,13
25,13
33,20
24,8
35,30
24,4
30,12
34,26
25,13
24,8
10,11
24,4
2,31
25,13
20,16
10,23
24,4
24,8
26,6
21,22
24,4
32,37
26,6
20,16
25,13
33,20
24,8
7,10
1,17
1,17
1,17
8,23
31,2
16,24
20,16
28,2
24,4
1,17
12,23
24,4
24,30
8,23
24,8
8,23
24,4
29,25
24,4
25,13
17,7
25,13
25,13
24,4
24,8
24,8
26,6
16,13
20,16
26,6
25,13
24,4
29,8
24,1
24,4
26,6
24,1
26,6
24,4
24,12
26,6
26,6
24,4
24,6
21,20
1,17
24,8
22,30
24,4
22,18
24,4
25,13
31,2
23,39
28,14
25,30
27,2
26,6
24,18
31,2
30,29
24,4
25,1
34,15
24,4
25,4
24,12
24,4
26,6
24,4
24,8
12,9
24,12
33,20
24,4
24,4
24,8
24,4
25,1
24,8
26,6
34,15
24,4
28,2
25,13
24,4
7,10
24,4
26,6
24,4
24,4
9,19
25,13
33,20
23,9
24,4
26,6
26,6
25,13
24,4
34,15
25,13
34,15
4,23
17,7
24,4
3,5
34,15
24,4
11,11
12,11
24,4
24,4
24,8
25,4
24,8
31,29
24,4
31,30
24,4
25,1
15,18
15,4
15,18
24,8
24,4
24,4
24,8
24,4
3,5
33,12
24,4
24,4
24,8
26,6
26,6
25,13
25,12
24,4
24,8
34,26
24,4
37,17
34,15
6,10
24,1
25,13
6,10
22,17
24,4
7,12
24,8
25,13
24,4
25,13
34,15
27,23
24,4
24,4
2,31
18,22
20,16
24,4
9,19
12,11
22,23
26,6
20,16
17,7
7,23
28,14
9,19
24,8
9,23
34,15
25,13
25,13
24,4
17,7
25,1
25,13
34,26
26,6
12,11
24,1
1,17
24,12
28,2
24,4
27,12
24,4
34,26
24,8
25,4
24,8
14,23
9,19
24,4
24,8
33,27
1,17
20,16
24,4
24,4
24,12
25,13
12,11
1,17
35,30
24,12
2,31
17,7
7,10
25,4
20,12
23,9
37,17
26,6
30,29
24,4
24,4
22,4
24,8
24,23
8,23
26,37
24,4
25,13
24,4
2,31
24,4
34,15
34,15
30,2
26,12
34,15
24,1
2,31
21,22
21,12
34,15
1,17
24,4
26,6
29,37
17,7
26,6
34,15
6,10
24,23
24,8
12,11
24,4
24,8
26,6
25,1
11,11
24,8
24,4
2,31
24,4
24,4
26,6
5,23
20,16
25,13
24,4
24,8
24,8
26,6
26,6
3,5
22,18
25,13
16,24
24,4
34,15
12,11
33,20
20,16
24,8
34,15
15,18
24,10
24,4
24,4
25,13
33,6
26,6
17,7
24,1
26,6
31,29
25,13
24,4
6,23
24,4
37,17
24,4
37,17
23,9
24,4
24,4
16,24
24,4
20,16
24,4
25,13
25,4
24,4
16,12
22,1
6,10
24,4
7,10
24,4
9,19
33,12
13,23
8,23
37,17
24,4
15,12
17,7
26,6
24,4
13,23
24,4
30,29
25,13
2,31
2,31
25,13
20,8
25,13
23,9
10,23
20,6
3,5
24,4
9,19
26,6
30,29
25,8
24,4
24,8
34,15
24,8
6,10
24,12
24,12
24,8
28,1
24,4
3,5
24,8
24,8
25,12
21,4
33,20
34,15
33,2
14,23
33,20
26,6
26,6
16,24
25,13
1,17
24,4
10,4
25,13
24,4
23,9
24,4
20,4
17,7
6,10
24,4
14,23
16,24
25,13
33,20
31,2
24,12
34,26
24,8
1,17
24,4
24,8
25,13
25,13
25,13
25,13
26,6
24,4
9,19
28,1
2,4
25,4
21,4
11,11
30,1
28,14
24,4
21,22
24,4
26,7
24,4
26,6
24,8
24,4
24,8
25,4
24,12
7,1
34,13
26,6
14,23
24,4
22,12
19,1
26,6
12,11
25,13
26,6
23,12
24,8
34,15
3,5
24,4
19,17
9,23
9,23
24,29
24,4
22,12
27,4
39,30
34,15
24,4
24,8
34,15
31,2
16,24
24,8
24,4
25,13
26,6
24,4
3,5
8,23
24,30
34,26
25,13
25,4
25,1
24,8
25,13
27,21
28,14
24,8
24,8
34,15
24,1
25,13
24,4
24,4
29,12
17,7
24,4
24,1
24,1
11,11
34,26
25,1
26,6
24,4
2,31
24,4
26,6
22,1
24,4
26,6
28,12
28,12
28,1
24,1
24,4
34,15
24,4
25,13
23,38
24,8
25,28
24,4
7,10
24,8
1,17
28,14
26,6
24,4
34,15
26,6
24,8
29,8
27,6
34,15
12,18
24,8
29,1
24,4
30,29
24,4
20,16
24,4
22,18
33,20
26,6
34,15
2,31
25,13
24,4
12,23
34,15
24,4
26,6
17,7
7,10
10,23
29,12
27,4
25,4
6,10
24,4
24,4
31,2
23,9
24,8
25,28
24,8
33,20
27,4
25,1
23,9
21,22
33,1
9,19
24,4
24,8
25,1
27,12
25,13
24,4
27,30
24,8
18,22
2,31
2,31
2,31
24,8
34,15
24,8
26,6
22,12
7,10
27,21
23,9
24,4
24,4
24,10
24,8
24,8
24,8
24,8
34,15
24,4
32,12
34,26
26,6
25,12
24,4
24,4
19,12
24,12
22,18
25,13
24,4
11,11
29,12
6,10
28,29
24,4
34,26
29,12
24,4
34,26
24,4
24,4
29,12
30,3
23,12
6,10
24,6
31,2
31,2
34,15
34,15
19,1
24,23
26,6
26,6
24,4
24,4
37,17
7,10
24,4
24,4
9,19
11,11
1,17
6,10
14,12
33,20
34,15
24,4
24,8
24,4
24,8
24,8
24,8
28,30
24,8
24,4
38,30
2,31
24,8
24,1
34,15
11,11
24,4
24,4
7,10
24,8
37,17
24,8
24,4
34,26
24,1
27,6
3,5
21,12
27,30
24,4
25,13
9,23
8,8
16,24
28,37
28,14
33,6
22,4
24,8
22,12
24,4
24,4
34,26
4,23
24,8
24,8
2,31
37,17
24,4
8,23
9,19
24,12
24,8
37,17
11,11
34,15
26,6
6,10
24,1
16,24
16,24
16,24
16,24
27,33
26,6
27,2
