Genotype,CoV
WT,3.77606351378899
WT,3.87298334620742
WT,3.87298334620742
WT,2.83800996737821
WT,3.83345226499666
WT,2.11520042066335
WT,3.2458765050005
WT,2.93989419000816
WT,3.87298334620742
WT,2.67371657633686
WT,2.60018311872252
WT,3.77697360725698
WT,2.56892288809023
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.81055980108418
WT,3.87298334620742
WT,3.87298334620742
WT,3.85424640100781
WT,3.72949854419823
WT,3.87298334620742
WT,3.87298334620742
WT,3.73227081307299
WT,2.42467421741045
WT,2.66251891581054
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.48700620057722
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.86340467108287
WT,2.12235086115434
WT,3.17144063704269
WT,2.37606868484643
WT,3.87298334620742
WT,3.87298334620742
WT,2.60671416697873
WT,1.95750707318258
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.55747572477044
WT,3.56618380743845
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.32628019590818
WT,2.21039454475887
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.37863669007599
WT,3.87298334620742
WT,2.99553238769243
WT,3.1396087108337
WT,3.52817447455102
WT,3.83720162735034
WT,2.79986453491569
WT,3.81102574176515
WT,3.87298334620742
WT,2.64798684277823
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.93633977778538
WT,2.25107762407244
WT,3.87298334620742
WT,3.87298334620742
WT,2.63899331455874
WT,3.7969974420603
WT,2.64798684277823
WT,2.31227755786774
WT,2.63899331455874
WT,3.87298334620742
WT,3.87298334620742
WT,1.79816334418075
WT,2.22508568524897
WT,2.14710794899624
WT,3.87298334620742
WT,3.87298334620742
WT,3.76515536660908
WT,3.50173379482677
WT,3.87298334620742
WT,3.87298334620742
WT,3.0731814857643
WT,3.87298334620742
WT,3.87298334620742
WT,2.24823563979924
WT,3.62419157704135
WT,2.80305955290694
WT,3.87298334620742
WT,3.87298334620742
WT,2.64850662084981
WT,3.87298334620742
WT,3.76668903960109
WT,3.87298334620742
WT,1.4317450353395
WT,3.87298334620742
WT,3.87298334620742
WT,3.50272932485716
WT,2.4548399269719
WT,2.35432732279459
WT,1.89034578905979
WT,1.48090524921173
WT,1.97981503934779
WT,3.79039395975324
WT,1.45471924795783
WT,0.921650435588217
WT,2.63899331455874
WT,3.87298334620742
WT,1.93763448327878
WT,3.58360544123689
WT,3.87298334620742
WT,3.52780105285283
WT,3.61890056665889
WT,1.18765074231202
WT,3.87298334620742
WT,2.33170235908903
WT,3.87298334620742
WT,1.36656720869936
WT,3.87298334620742
WT,3.00792603759119
WT,3.32468983758049
WT,3.87298334620742
WT,3.87298334620742
WT,3.60555127546399
WT,2.66698493633312
WT,3.78911739099293
WT,3.64255701044528
WT,3.87298334620742
WT,2.54442618668061
WT,2.2343689503083
WT,3.87298334620742
WT,3.43052823619113
WT,3.00827825953018
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.85256353604817
WT,3.87298334620742
WT,2.16973012023221
WT,2.04920765009108
WT,3.09540580366153
WT,3.87298334620742
WT,2.49842711317173
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.42924230052715
WT,1.10345747071996
WT,2.6058362607287
WT,2.02074895503764
WT,1.80663818354454
WT,3.87298334620742
WT,3.3944617681719
WT,3.1396087108337
WT,2.16754031320417
WT,3.87298334620742
WT,3.63207639804145
WT,3.87298334620742
WT,3.87298334620742
WT,2.18521209861886
WT,3.87298334620742
WT,1.22249672543832
WT,2.82419308782075
WT,3.73688181700809
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.50674444206919
WT,3.87298334620742
WT,2.53661029208507
WT,3.23313644067077
WT,3.13707982704773
WT,3.87298334620742
WT,2.74551284189388
WT,2.63899331455874
WT,3.87298334620742
WT,1.80286773932447
WT,3.87298334620742
WT,3.63599568982842
WT,2.84486737230361
WT,3.2887266135694
WT,2.56317101786022
WT,2.70853183780151
WT,3.60378859015855
WT,3.87298334620742
WT,2.14509776641847
WT,1.78208949243924
WT,2.57428019764932
WT,3.13551776957547
WT,2.53141116908012
WT,3.87298334620742
WT,2.89772762640408
WT,3.87298334620742
WT,2.21101297006128
WT,2.78474659904423
WT,3.87298334620742
WT,3.43765428439855
WT,3.87298334620742
WT,3.87298334620742
WT,2.74535614763719
WT,3.16076461684767
WT,3.28909542093972
WT,2.86450877227642
WT,3.87298334620742
WT,3.87298334620742
WT,2.63899331455874
WT,3.87298334620742
WT,3.69638282875884
WT,2.84019958165791
WT,3.87298334620742
WT,2.79205596962905
WT,3.5935957354466
WT,3.72984625244496
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.99553238769243
WT,2.39662980585223
WT,2.38985356784637
WT,3.18410560135351
WT,3.2710696559711
WT,3.87298334620742
WT,2.90383483266753
WT,2.98397755656957
WT,1.89214657122309
WT,3.87298334620742
WT,2.33771750313609
WT,3.01126872240764
WT,3.87298334620742
WT,3.87298334620742
WT,2.76918247795603
WT,3.10893002034185
WT,2.64320739077452
WT,3.87298334620742
WT,2.64343806279225
WT,2.4675086425581
WT,3.87298334620742
WT,3.86204791823052
WT,3.87298334620742
WT,2.37313860613072
WT,3.87298334620742
WT,3.56618380743845
WT,2.5881805674435
WT,2.63899331455874
WT,3.2458765050005
WT,3.87298334620742
WT,2.99996624339636
WT,3.7553822990466
WT,3.87298334620742
WT,3.32628019590818
WT,2.6616405348832
WT,1.65165593592458
WT,2.56276636246292
WT,1.27758679286249
WT,3.87298334620742
WT,2.63899331455874
WT,2.16254949792112
WT,3.87298334620742
WT,2.54834872016822
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,1.89107280121909
WT,2.98559517168071
WT,1.64207959564346
WT,3.87298334620742
WT,2.84504974222144
WT,3.80960657841897
WT,3.87298334620742
WT,3.87298334620742
WT,2.63899331455874
WT,3.64632276940336
WT,2.63899331455874
WT,2.70707802410116
WT,3.87298334620742
WT,3.07121421545137
WT,3.87298334620742
WT,3.87298334620742
WT,2.61299350070292
WT,2.05357907932584
WT,3.87298334620742
WT,3.02805155337761
WT,2.69920623252731
WT,3.87298334620742
WT,3.71450324754774
WT,2.23713663146105
WT,3.87298334620742
WT,2.68734040149721
WT,3.87298334620742
WT,2.18349989113629
WT,3.56618380743845
WT,2.54205695676328
WT,3.87298334620742
WT,2.28882542027811
WT,3.87298334620742
WT,2.73851100873596
WT,3.81800246950455
WT,3.87298334620742
WT,3.87298334620742
WT,2.97691088021583
WT,3.8454054216874
WT,3.87298334620742
WT,3.87298334620742
WT,2.09395459002554
WT,3.87298334620742
WT,3.67771665813375
WT,0.847298494462582
WT,3.87298334620742
WT,3.03938449573507
WT,3.87298334620742
WT,2.7368136793271
WT,3.87298334620742
WT,3.12598555887351
WT,3.87298334620742
WT,3.72247824795698
WT,3.86887262910358
WT,3.40580909598638
WT,3.87298334620742
WT,2.01868592669545
WT,3.01284369375274
WT,2.05109996791913
WT,3.77047979137176
WT,3.87298334620742
WT,2.26800880977446
WT,2.06988864346359
WT,3.70696584333736
WT,2.08028050134729
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.48145622726769
WT,2.40407771914899
WT,3.87298334620742
WT,2.93233966602695
WT,3.81238275023711
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.92607456797969
WT,3.87298334620742
WT,3.87298334620742
WT,2.36643017902028
WT,1.61264050979418
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.70998992039086
WT,3.87298334620742
WT,2.05144956942771
WT,3.87298334620742
WT,1.4638501094228
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.45740513460176
WT,3.60555127546399
WT,2.63899331455874
WT,2.80305955290694
WT,3.87298334620742
WT,2.9052079505866
WT,2.48291658914931
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.48188627543786
WT,2.98108925330335
WT,3.60555127546399
WT,3.62500423160874
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.1186001223768
WT,3.87298334620742
WT,3.87298334620742
WT,2.88560954768495
WT,2.44143021610015
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.73974467046104
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.1202560502828
WT,3.1396087108337
WT,3.27647328462176
WT,3.72733676484975
WT,3.87298334620742
WT,2.03209506783737
WT,3.87298334620742
WT,2.16775210500679
WT,1.808860184808
WT,3.87298334620742
WT,2.75394780553753
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.4411006424019
WT,2.7900280571648
WT,3.87298334620742
WT,3.10399058485468
WT,3.87298334620742
WT,3.87298334620742
WT,3.37160680582355
WT,3.87298334620742
WT,3.26787581552283
WT,2.63899331455874
WT,2.63899331455874
WT,3.87298334620742
WT,3.78415248301536
WT,3.18651452571757
WT,2.96835582464727
WT,3.87298334620742
WT,2.7793998269663
WT,3.87298334620742
WT,3.24776642364952
WT,3.87298334620742
WT,3.84637788384068
WT,3.87298334620742
WT,3.74400726093556
WT,3.48265950751172
WT,2.67537902520318
WT,3.87298334620742
WT,3.87298334620742
WT,3.24971305204551
WT,3.87298334620742
WT,2.57724101934625
WT,3.87298334620742
WT,2.3982822408692
WT,2.46302915382481
WT,2.48131562281739
WT,3.87298334620742
WT,2.3318447632722
WT,2.68002659738249
WT,2.4266111917068
WT,3.32628019590818
WT,2.41179555735522
WT,2.77588347910886
WT,3.48489829152514
WT,2.58215856545311
WT,3.87298334620742
WT,3.87298334620742
WT,2.64059375554191
WT,2.7872853165089
WT,3.04186813136248
WT,1.25067671201261
WT,3.41684069424074
WT,2.38151181972238
WT,3.87298334620742
WT,1.91179266466704
WT,2.86039697003398
WT,3.75846361913993
WT,3.14455262177891
WT,3.87298334620742
WT,2.89471774869175
WT,1.96942071963129
WT,1.67691369778226
WT,3.09930867867566
WT,3.43497002844514
WT,3.87298334620742
WT,1.41833094058521
WT,3.87298334620742
WT,3.87298334620742
WT,1.22798066268835
WT,3.70812071664248
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.29180672171924
WT,1.45917336833235
WT,2.29440587340544
WT,3.87298334620742
WT,3.44424986649592
WT,2.54205695676328
WT,1.79667044255318
WT,1.98206241793023
WT,2.41936029577914
WT,2.35549131509536
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.00309527246058
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.92116140609209
WT,2.83022502963396
WT,2.80305955290694
WT,3.44974807277671
WT,3.87298334620742
WT,1.73719806626493
WT,2.95599542678763
WT,3.87298334620742
WT,2.38499429160657
WT,3.85995332727684
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.1396087108337
WT,1.95131883345628
WT,3.87298334620742
WT,1.76851688211765
WT,3.54303556686453
WT,2.07019667802706
WT,3.56618380743845
WT,2.22431625400369
WT,3.85509451657366
WT,3.31767153956573
WT,3.87298334620742
WT,3.18105828532627
WT,3.87298334620742
WT,2.49942195803215
WT,3.87298334620742
WT,2.71923634897947
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.02252556992661
WT,3.87298334620742
WT,3.19450451183531
WT,3.70733353696831
WT,3.22517120590724
WT,3.87298334620742
WT,2.2655985142422
WT,3.87298334620742
WT,3.87298334620742
WT,3.23125977437613
WT,2.07019667802706
WT,2.94839869460767
WT,3.79023200882933
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.51905123608174
WT,1.73447398366191
WT,3.87298334620742
WT,2.37717679802868
WT,3.87298334620742
WT,3.87298334620742
WT,3.19662602531023
WT,3.87298334620742
WT,2.73871858061445
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.15962775851099
WT,1.41759945913849
WT,1.5168378600135
WT,3.62664521049889
WT,2.40753018818299
WT,2.23968630593885
WT,3.87298334620742
WT,3.0691869073852
WT,2.14132689476182
WT,2.55377636340493
WT,3.87298334620742
WT,3.8272182730793
WT,3.87298334620742
WT,3.67214368528073
WT,3.00312788918944
WT,2.73249297476551
WT,3.16750606423718
WT,2.05494639267557
WT,3.87298334620742
WT,2.57875518292152
WT,3.87298334620742
WT,3.12170760425083
WT,3.00145271365239
WT,3.87298334620742
WT,2.93669761239
WT,2.69920623252731
WT,2.79090331167649
WT,1.8792095602749
WT,1.96993332909797
WT,2.16425555466299
WT,2.56909224035413
WT,3.62664521049889
WT,3.87298334620742
WT,2.34169527855838
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.75660780367188
WT,3.87298334620742
WT,3.87298334620742
WT,3.7432937738823
WT,2.9052079505866
WT,3.87298334620742
WT,3.32983677819829
WT,3.3745653635534
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.7003565176239
WT,2.41526758006896
WT,2.81227525827041
WT,2.20287117491775
WT,3.87298334620742
WT,1.97969743648752
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.57456863571429
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,1.9443817388151
WT,3.1396087108337
WT,3.36694101685218
WT,3.87298334620742
WT,1.73205080756888
WT,2.22031330186663
WT,3.13606459562924
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.77151054845647
WT,2.51927483454303
WT,3.87298334620742
WT,3.87298334620742
WT,2.63899331455874
WT,2.63899331455874
WT,3.87298334620742
WT,3.53395519011126
WT,2.14498064402221
WT,2.03278880139523
WT,2.08561046074648
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.63412241999571
WT,2.12370594106519
WT,2.47020886081008
WT,2.14738821419581
WT,3.87298334620742
WT,1.82618849427713
WT,3.87298334620742
WT,3.87298334620742
WT,3.56333731921982
WT,2.80305955290694
WT,3.83007860930575
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.58263257930471
WT,3.87298334620742
WT,3.29098429066608
WT,3.87298334620742
WT,3.87298334620742
WT,2.54995996103553
WT,3.87298334620742
WT,3.59057104333196
WT,2.55191782158109
WT,2.63212257058994
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.83910061284776
WT,3.51334107729149
WT,3.22213013444439
WT,3.38399594731267
WT,3.64876582743975
WT,3.23413790948774
WT,3.34881783226138
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.51268896007651
WT,3.2458765050005
WT,2.58817353877674
WT,3.87298334620742
WT,3.87298334620742
WT,1.73515424182679
WT,3.2089945472733
WT,3.87298334620742
WT,3.87298334620742
WT,1.84608521196816
WT,1.97393471701767
WT,3.71787291568411
WT,3.68187494585737
WT,3.0159923594957
WT,3.48548437887219
WT,3.08799518874533
WT,2.7900280571648
WT,2.25861343560771
WT,1.94273345127741
WT,1.96173303521599
WT,3.87298334620742
WT,3.87298334620742
WT,3.08121266924279
WT,3.87298334620742
WT,3.56446571600162
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.45093024317959
WT,3.82266847308529
WT,2.69920623252731
WT,3.59970359858124
WT,2.78847029850727
WT,3.87298334620742
WT,3.87298334620742
WT,2.63899331455874
WT,3.87298334620742
WT,3.87298334620742
WT,3.58335628669849
WT,2.93951251405432
WT,2.80305955290694
WT,2.20389266007736
WT,2.65417460939232
WT,3.1396087108337
WT,3.87298334620742
WT,3.87298334620742
WT,2.84829020201074
WT,2.7918642866972
WT,3.00605896271744
WT,3.87298334620742
WT,2.8134996363396
WT,3.08799518874533
WT,2.61205994243186
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.73533948872196
WT,3.81410226571004
WT,3.87298334620742
WT,2.5822829301212
WT,3.87298334620742
WT,3.87298334620742
WT,3.56160409317457
WT,2.65880461533135
WT,2.0880898083222
WT,3.8171142971195
WT,2.96096487979689
WT,3.87298334620742
WT,3.83364473474299
WT,3.82540544985547
WT,3.08331573756241
WT,2.69920623252731
WT,3.87298334620742
WT,2.93313923725485
WT,3.87298334620742
WT,3.68350164523349
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,1.85592145427667
WT,3.85680339469913
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.36835672219067
WT,3.61561856326663
WT,3.87298334620742
WT,2.77800650903076
WT,3.87298334620742
WT,3.84405991497837
WT,3.30749181301646
WT,3.01609221984847
WT,3.72733676484975
WT,2.08136286839669
WT,2.80305955290694
WT,2.64116045057042
WT,3.87298334620742
WT,3.87298334620742
WT,2.6906985907986
WT,2.74119322525746
WT,2.91207185361988
WT,2.20116529538577
WT,3.01609221984847
WT,3.82835033727518
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.74233116416771
WT,2.81455409109122
WT,3.87298334620742
WT,3.19662602531023
WT,2.63899331455874
WT,2.43250587031774
WT,3.87298334620742
WT,1.85992919507457
WT,2.74900802585231
WT,3.16762839797517
WT,2.37596683856187
WT,3.77084006716308
WT,3.87298334620742
WT,1.71095943586337
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.86038836161147
WT,3.11426728369382
WT,2.21154210897121
WT,2.39635767417381
WT,2.30786687399159
WT,3.25198163802973
WT,2.76383486754809
WT,3.46074223038315
WT,2.80305955290694
WT,3.67656351018067
WT,2.08768373237984
WT,2.58633631183952
WT,3.87298334620742
WT,2.69914964650841
WT,3.87298334620742
WT,3.87298334620742
WT,3.23640011653159
WT,3.87298334620742
WT,2.3453831622169
WT,3.63447443436351
WT,3.87298334620742
WT,2.9052079505866
WT,3.27727826457302
WT,3.74149966768754
WT,2.80305955290694
WT,3.18831551579976
WT,2.96051937802172
WT,2.67492430784698
WT,2.51736149185446
WT,3.35942171894424
WT,2.31555498935884
WT,2.85218654404023
WT,3.87298334620742
WT,3.17581453977896
WT,2.93675965324384
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.7143060341469
WT,1.39893473435758
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,1.72616163853831
WT,3.87298334620742
WT,1.27679747311969
WT,2.47016451218145
WT,3.87298334620742
WT,1.79174248932443
WT,2.85477928847371
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.38886042793149
WT,3.87298334620742
WT,2.16961541305467
WT,3.54724875938141
WT,3.45427227790074
WT,2.25022044775441
WT,3.87298334620742
WT,3.76652286676718
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.55951096966919
WT,1.7775698640648
WT,3.6769493999978
WT,2.6809513236909
WT,3.87298334620742
WT,3.35044330791278
WT,3.68854604157606
WT,2.9135059514336
WT,3.87298334620742
WT,3.87298334620742
WT,3.1186001223768
WT,1.56172435023586
WT,2.12798134465913
WT,2.30157808488709
WT,2.60309219182181
WT,3.87298334620742
WT,3.16149598232671
WT,3.87298334620742
WT,1.965591559053
WT,2.89759585820767
WT,2.53565345621609
WT,2.99079097890918
WT,2.80305955290694
WT,2.00309527246058
WT,3.69187212662627
WT,3.87298334620742
WT,2.14087209644419
WT,2.95199690282455
WT,3.87298334620742
WT,3.11809703293919
WT,2.23525293538141
WT,2.78990585639767
WT,2.84963767108441
WT,3.41516781884072
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.29707943921044
WT,3.87298334620742
WT,3.87298334620742
WT,3.2934165107675
WT,1.35385482793496
WT,1.48871098749241
WT,1.81945420221765
WT,2.49732086023819
WT,2.0210436770528
WT,3.87298334620742
WT,2.17124059336724
WT,2.51934662919109
WT,2.90421910129638
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.36634872539969
WT,2.68598824866609
WT,2.4955345354906
WT,0.636380169342261
WT,3.87298334620742
WT,3.66724987309496
WT,2.6211795162392
WT,2.61996220717893
WT,2.09541070086358
WT,3.87298334620742
WT,3.58076401089204
WT,3.5418417323679
WT,2.07548234747733
WT,3.74097166857954
WT,3.87298334620742
WT,3.38693658358799
WT,3.87298334620742
WT,3.55951099829931
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.92430971369096
WT,3.11748973956969
WT,3.8112561138508
WT,3.87298334620742
WT,3.87298334620742
WT,2.47564425448209
WT,3.26735722155171
WT,2.41529658837487
WT,3.87298334620742
WT,3.39884543218333
WT,3.87298334620742
WT,2.71983693280249
WT,3.81532920851194
WT,3.5225744467514
WT,3.87298334620742
WT,3.25719121608239
WT,3.17657150224511
WT,3.05489140822305
WT,3.87298334620742
WT,2.29649723294255
WT,2.06016642878329
WT,0.850228171438019
WT,2.95699527524731
WT,2.62401550370471
WT,2.11583638742731
WT,3.87298334620742
WT,2.94148665643752
WT,3.87298334620742
WT,3.74120046809452
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.1396087108337
WT,3.87298334620742
WT,1.94453994346726
WT,3.87298334620742
WT,2.70703570867514
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.9710537682491
WT,2.30721103911293
WT,2.15334160806851
WT,1.72051861091482
WT,1.5186512611171
WT,3.63121303516774
WT,3.87298334620742
WT,3.87298334620742
WT,2.63899331455874
WT,1.69145841592008
WT,3.87298334620742
WT,3.21269802057843
WT,2.63899331455874
WT,2.84160801975775
WT,3.87298334620742
WT,2.52210136003782
WT,3.87298334620742
WT,2.38074477646659
WT,2.91049517141966
WT,3.6211039263607
WT,3.87298334620742
WT,2.17605357626709
WT,3.87298334620742
WT,3.32628019590818
WT,3.2458765050005
WT,3.87298334620742
WT,1.62582660807634
WT,3.67058773028439
WT,3.75604469091046
WT,3.87298334620742
WT,3.87298334620742
WT,2.33170235908903
WT,3.87298334620742
WT,3.37432655717488
WT,3.87298334620742
WT,3.63599568982842
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.40934903273495
