Dataset,d
Biase,4.08163265306122
Biase,4.08163265306122
Biase,6.12244897959184
Biase,8.16326530612245
Biase,10.2040816326531
Biase,12.2448979591837
Biase,14.2857142857143
Biase,16.3265306122449
Biase,18.3673469387755
Biase,24.4897959183673
Biase,26.530612244898
Biase,44.8979591836735
Biase,4.08163265306122
Biase,4.08163265306122
Biase,6.12244897959184
Biase,8.16326530612245
Biase,10.2040816326531
Biase,16.3265306122449
Biase,4.08163265306122
Biase,4.08163265306122
Biase,6.12244897959184
Biase,8.16326530612245
Biase,10.2040816326531
Deng,4.1044776119403
Deng,3.73134328358209
Deng,4.85074626865672
Deng,7.46268656716418
Deng,7.83582089552239
Deng,8.2089552238806
Deng,8.58208955223881
Deng,5.22388059701492
Deng,5.59701492537313
Deng,5.97014925373134
Deng,6.34328358208955
Deng,7.08955223880597
Deng,5.59701492537313
Deng,5.97014925373134
Deng,6.34328358208955
Deng,6.71641791044776
Deng,7.08955223880597
Deng,7.46268656716418
Deng,8.95522388059701
Goolam,1.61290322580645
Goolam,1.61290322580645
Goolam,11.2903225806452
Goolam,1.61290322580645
Goolam,8.06451612903226
Goolam,1.61290322580645
Goolam,6.45161290322581
Goolam,8.06451612903226
Goolam,9.67741935483871
Kolodziejczyk,0.284090909090909
Kolodziejczyk,1.98863636363636
Kolodziejczyk,2.55681818181818
Kolodziejczyk,3.125
Kolodziejczyk,3.69318181818182
Kolodziejczyk,4.26136363636364
Kolodziejczyk,4.82954545454545
Kolodziejczyk,5.39772727272727
Kolodziejczyk,5.96590909090909
Kolodziejczyk,6.53409090909091
Kolodziejczyk,7.10227272727273
Kolodziejczyk,14.2045454545455
Kolodziejczyk,21.3068181818182
Kolodziejczyk,0.284090909090909
Kolodziejczyk,1.42045454545455
Kolodziejczyk,1.98863636363636
Kolodziejczyk,2.55681818181818
Kolodziejczyk,3.125
Kolodziejczyk,3.69318181818182
Kolodziejczyk,4.26136363636364
Kolodziejczyk,4.82954545454545
Kolodziejczyk,5.39772727272727
Kolodziejczyk,5.96590909090909
Kolodziejczyk,6.53409090909091
Kolodziejczyk,7.10227272727273
Kolodziejczyk,14.2045454545455
Kolodziejczyk,0.284090909090909
Kolodziejczyk,0.852272727272727
Kolodziejczyk,1.42045454545455
Kolodziejczyk,1.98863636363636
Kolodziejczyk,2.55681818181818
Kolodziejczyk,3.125
