,x
EE50.SLX.8966.N701_N504.bam,0.0962818737161859
EE50.SLX.8966.N701_N505.bam,0.0305662223473197
EE50.SLX.8966.N701_N507.bam,0.0961239984898695
EE50.SLX.8966.N701_N508.bam,0.0705510755904381
EE50.SLX.8966.N702_N501.bam,0.0245255718502121
EE50.SLX.8966.N702_N502.bam,0.0893143294278697
EE50.SLX.8966.N702_N504.bam,0.0941027243648664
EE50.SLX.8966.N702_N506.bam,0.00265151515151515
EE50.SLX.8966.N703_N501.bam,0.108587088638712
EE50.SLX.8966.N703_N502.bam,0.0552644490236483
EE50.SLX.8966.N703_N507.bam,0.0627210063272638
EE50.SLX.8966.N704_N502.bam,0.0288313846445662
EE50.SLX.8966.N704_N504.bam,0.0937384395155453
EE50.SLX.8966.N704_N505.bam,0.0152089534053922
EE50.SLX.8966.N704_N506.bam,0.111834168262525
EE50.SLX.8966.N704_N507.bam,0.0620633272200985
EE50.SLX.8966.N704_N508.bam,0.0260469638885474
EE50.SLX.8966.N705_N501.bam,0.0502385682193714
EE50.SLX.8966.N705_N502.bam,0.0566219921980611
EE50.SLX.8966.N705_N504.bam,0.11030910326087
EE50.SLX.8966.N705_N505.bam,0.0926039317592358
EE50.SLX.8966.N705_N506.bam,0.00130218307162007
EE50.SLX.8966.N705_N507.bam,0.0371995722877685
EE50.SLX.8966.N706_N501.bam,0.0781636866770045
EE50.SLX.8966.N706_N506.bam,0.0619731417671671
EE50.SLX.8966.N706_N507.bam,0.0976224204453626
EE50.SLX.8966.N707_N501.bam,0.0523600384837854
EE50.SLX.8966.N707_N502.bam,0.107864230552993
EE50.SLX.8966.N707_N503.bam,0.032519698874157
EE50.SLX.8966.N707_N504.bam,0.0263595457064753
EE50.SLX.8966.N707_N507.bam,0.0635733535307276
EE50.SLX.8966.N707_N508.bam,0.0281122972305588
EE50.SLX.8966.N708_N505.bam,0.0894870429486989
EE50.SLX.8966.N708_N506.bam,0.0570709360865976
EE50.SLX.8966.N708_N508.bam,0.0891080108119902
EE50.SLX.8966.N709_N501.bam,0.00407691921474118
EE50.SLX.8966.N709_N502.bam,0.0636577972381273
EE50.SLX.8966.N709_N504.bam,0.0695383306902448
EE50.SLX.8966.N709_N506.bam,0.0651536836366115
EE50.SLX.8966.N709_N507.bam,0.0197994869131372
EE50.SLX.8966.N709_N508.bam,0.0476907298352412
EE50.SLX.8966.N710_N502.bam,0.0399675278446607
EE50.SLX.8966.N710_N506.bam,0.0651799012306969
EE50.SLX.8966.N710_N507.bam,0.0409357938376745
EE50.SLX.8966.N710_N508.bam,0.0247371559489063
EE50.SLX.8966.N711_N502.bam,0.0510327215340455
EE50.SLX.8966.N711_N507.bam,0.0317731426147974
EE50.SLX.8966.N712_N502.bam,0.107006849898407
EE50.SLX.8966.N712_N504.bam,0.0402209004929531
EE50.SLX.8966.N712_N505.bam,0.0856998916501611
EE50.SLX.8966.N712_N508.bam,0.0401374726499608
