EE50.SLX.8966.N701_N508.bam,EE50.SLX.8966.N708_N508.bam,EE50.SLX.8966.N710_N508.bam,CC97.SLX.8969.N710_N505.bam,CC97.SLX.8969.N707_N505.bam,CC97.SLX.8969.N706_N505.bam,CC97.SLX.8969.N706_N503.bam,CC97.SLX.8969.N705_N507.bam,CC97.SLX.8969.N703_N508.bam,CC97.SLX.8969.N703_N507.bam,CC97.SLX.8969.N702_N505.bam,CC97.SLX.8969.N701_N503.bam,CC97.SLX.8969.N702_N504.bam,CC97.SLX.8969.N711_N503.bam,CC97.SLX.8969.N709_N506.bam,CC97.SLX.8969.N709_N501.bam,CC97.SLX.8969.N703_N501.bam,CC97.SLX.8969.N705_N505.bam,EE50.SLX.8966.N704_N505.bam,CC97.SLX.8969.N712_N503.bam,CC97.SLX.8969.N712_N505.bam,CC97.SLX.8969.N711_N504.bam,CC97.SLX.8969.N709_N508.bam,CC97.SLX.8969.N706_N504.bam,CC97.SLX.8969.N706_N502.bam,CC97.SLX.8969.N701_N507.bam,CC97.SLX.8969.N704_N503.bam,CC97.SLX.8969.N711_N501.bam,CC97.SLX.8969.N708_N508.bam,CC97.SLX.8969.N702_N502.bam,CC97.SLX.8969.N706_N506.bam,CC97.SLX.8969.N711_N507.bam,CC97.SLX.8969.N711_N506.bam,CC97.SLX.8969.N710_N502.bam,CC97.SLX.8969.N709_N504.bam,CC97.SLX.8969.N708_N507.bam,CC97.SLX.8969.N708_N506.bam,CC97.SLX.8969.N707_N508.bam,CC97.SLX.8969.N707_N503.bam,CC97.SLX.8969.N705_N508.bam,CC97.SLX.8969.N702_N507.bam,CC97.SLX.8969.N703_N502.bam,CC97.SLX.8969.N712_N506.bam,CC97.SLX.8969.N702_N503.bam,CC97.SLX.8969.N707_N507.bam,CC97.SLX.8969.N711_N502.bam,CC97.SLX.8969.N710_N507.bam,CC97.SLX.8969.N710_N506.bam,CC97.SLX.8969.N710_N504.bam,CC97.SLX.8969.N710_N501.bam,CC97.SLX.8969.N709_N503.bam,CC97.SLX.8969.N708_N504.bam,CC97.SLX.8969.N708_N501.bam,CC97.SLX.8969.N707_N506.bam,CC97.SLX.8969.N705_N504.bam,CC97.SLX.8969.N705_N501.bam,CC97.SLX.8969.N704_N508.bam,CC97.SLX.8969.N704_N505.bam,CC97.SLX.8969.N704_N504.bam,CC97.SLX.8969.N704_N502.bam,CC97.SLX.8969.N702_N506.bam,CC97.SLX.8969.N702_N508.bam,CC97.SLX.8969.N707_N504.bam,CC97.SLX.8969.N703_N504.bam,CC97.SLX.8969.N706_N507.bam,CC97.SLX.8969.N707_N502.bam,CC97.SLX.8969.N703_N503.bam,CC97.SLX.8969.N712_N507.bam,CC97.SLX.8969.N711_N508.bam,CC97.SLX.8969.N709_N507.bam,CC97.SLX.8969.N709_N502.bam,CC97.SLX.8969.N708_N505.bam,CC97.SLX.8969.N708_N503.bam,CC97.SLX.8969.N708_N502.bam,CC97.SLX.8969.N706_N501.bam,CC97.SLX.8969.N704_N506.bam,CC97.SLX.8969.N701_N506.bam,CC97.SLX.8969.N703_N505.bam,CC97.SLX.8969.N701_N505.bam,EE50.SLX.8966.N709_N507.bam,EE50.SLX.8966.N707_N504.bam,EE50.SLX.8966.N702_N501.bam,EE50.SLX.8966.N707_N503.bam,CC97.SLX.8969.N703_N506.bam,CC97.SLX.8969.N705_N503.bam,CC97.SLX.8969.N712_N504.bam,CC97.SLX.8969.N711_N505.bam,CC97.SLX.8969.N710_N508.bam,CC97.SLX.8969.N710_N503.bam,CC97.SLX.8969.N706_N508.bam,CC97.SLX.8969.N701_N508.bam,CC97.SLX.8969.N705_N502.bam,CC97.SLX.8969.N701_N502.bam,CC97.SLX.8969.N705_N506.bam,CC97.SLX.8969.N704_N507.bam,EE50.SLX.8966.N712_N508.bam,EE50.SLX.8966.N704_N502.bam,EE50.SLX.8966.N707_N508.bam,CC97.SLX.8969.N701_N504.bam,CC97.SLX.8969.N712_N502.bam,EE50.SLX.8966.N701_N507.bam,EE50.SLX.8966.N712_N504.bam,EE50.SLX.8966.N712_N502.bam,EE50.SLX.8966.N710_N506.bam,EE50.SLX.8966.N710_N502.bam,EE50.SLX.8966.N709_N508.bam,EE50.SLX.8966.N709_N506.bam,EE50.SLX.8966.N709_N504.bam,EE50.SLX.8966.N709_N502.bam,EE50.SLX.8966.N708_N506.bam,EE50.SLX.8966.N708_N505.bam,EE50.SLX.8966.N707_N507.bam,EE50.SLX.8966.N707_N502.bam,EE50.SLX.8966.N706_N507.bam,EE50.SLX.8966.N706_N506.bam,EE50.SLX.8966.N705_N505.bam,EE50.SLX.8966.N705_N504.bam,EE50.SLX.8966.N705_N502.bam,EE50.SLX.8966.N705_N501.bam,EE50.SLX.8966.N704_N507.bam,EE50.SLX.8966.N704_N506.bam,EE50.SLX.8966.N704_N504.bam,EE50.SLX.8966.N701_N505.bam,EE50.SLX.8966.N703_N502.bam,EE50.SLX.8966.N702_N506.bam,EE50.SLX.8966.N712_N505.bam,EE50.SLX.8966.N705_N507.bam,EE50.SLX.8966.N711_N507.bam,EE50.SLX.8966.N711_N502.bam,EE50.SLX.8966.N710_N507.bam,EE50.SLX.8966.N709_N501.bam,EE50.SLX.8966.N707_N501.bam,EE50.SLX.8966.N706_N501.bam,EE50.SLX.8966.N705_N506.bam,EE50.SLX.8966.N704_N508.bam,EE50.SLX.8966.N703_N507.bam,EE50.SLX.8966.N703_N501.bam,EE50.SLX.8966.N702_N504.bam,EE50.SLX.8966.N701_N504.bam,EE50.SLX.8966.N702_N502.bam
10.9270371687203,12.1237980912519,3.32192809488736,0,8.4797802640291,5.24792751344359,6.71424551766612,9.10590850857116,5.97727992349992,7.34872815423108,8.14465824283188,5.4594316186373,7.64385618977472,4.64385618977472,6,4.52356195605701,6.70043971814109,6.83289001416474,8.06069593168755,5.85798099512757,8.17990909001493,6.95419631038687,7.15987133677839,8.90388184573618,9.283088353024,7.4093909361377,9.30606168942834,4.75488750216347,5.12928301694497,10.4501802471648,8.0389189892923,7.73470962022584,6.4594316186373,3.32192809488736,6.75488750216347,6.16992500144231,10.0347989625773,8.09803208296053,5.7279204545632,5.08746284125034,8.01680828768655,8.24792751344359,7.93663793900257,6.3037807481771,8.56985560833095,10.8025163651212,2,9.30149619498255,8.23840473932508,9.55458885167764,6.98868468677217,4.90689059560852,6.71424551766612,8.71080643369935,7.98868468677217,8.21916852046216,5.78135971352466,7.70043971814109,8.37937836707126,5.12928301694497,7.54689445988764,6.10852445677817,9.09011241966429,6.59991284218713,4.8073549220576,5.24792751344359,7.14974711950468,7.52356195605701,8.43879185257826,6.37503943134692,7.69348695749933,4.08746284125034,8.40087943628218,11.1743015444676,8.05528243550119,7.07681559705083,5.39231742277876,8.62935662007961,7.8703647195834,11.4938554492408,11.344850683943,10.8121773055144,9.17242750864548,5.75488750216347,8.67595703294175,8.18982455888002,7.62935662007961,7.8703647195834,10.6375305515253,7.19967234483636,8.43879185257826,6.22881869049588,8.81378119121704,6.74146698640115,10.2155329997457,8.44708322620965,7.51569983828404,1,7.75488750216347,0,1.58496250072116,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,6.98868468677217,1,1.58496250072116,1.58496250072116,0,0,1,4.52356195605701,0,0,0,1,3.70043971814109,0,1.58496250072116,1,5.32192809488736,0,1,0,1,1,0
8.60733031374961,1,3.32192809488736,8.85174904141606,8.96866679319521,9.35093918154643,2.58496250072116,8.92184093707449,6.39231742277876,7.99435343685886,6.8703647195834,8.62935662007961,10.4532706340106,9.94836723158468,8.4594316186373,9.09803208296053,9.67595703294175,7.83289001416474,5.58496250072116,8.2045711442492,8.26209484537018,7.96578428466209,8.33091687811462,9.74819284958946,9.76487159073609,8.24317398347295,8.75488750216347,7.69348695749933,6.5077946401987,8.70390357344466,8.29001884693262,9.73470962022584,7.4093909361377,8.02236781302845,9.10852445677817,10.3641346550081,10.8533095554037,7.4178525148859,7.78790255939143,8.09275714091985,8.4797802640291,6.53915881110803,9.99717948093762,10.4501802471648,8.97154355395077,8.68999797141945,9.79603960882977,9.15228484230658,6.44294349584873,9.36850646150769,6,8.74819284958946,10.1150436501617,9.09539702279256,9.02790599656988,9.1548181090521,7.58496250072116,9.38154295118458,8.22881869049588,9.91587937883577,8.35755200461808,8.51175265376738,10.4898479604393,9.39231742277876,8.96866679319521,8.97154355395077,10.4737057496194,8.19967234483636,7.28540221886225,8.7515440590891,7.78790255939143,8.68299458368168,7.03342300153745,9.87344411251538,9.32192809488736,10.6101020629997,8.73131903102506,9.76818432477693,9.01959072835788,4.4594316186373,6.4093909361377,8.07681559705083,6.52356195605701,8.07681559705083,9.73470962022584,8.89481776330794,2,8.89481776330794,10.8641861446543,8.13442632022093,10.2749604721406,6.71424551766612,8.42206476617281,7.84549005094437,10.2057932493972,8.72451385311995,9.45327063401062,8.92184093707449,9.30833903013941,12.1861142395416,1,5.28540221886225,0,1,0,0,0,1,1,1,1,1,1,0,3.32192809488736,0,1,0,1,1.58496250072116,1.58496250072116,0,6.4093909361377,1,6.4594316186373,0,0,6.18982455888002,1,0,3.16992500144231,0,1,8.34429590791582,2,1,0,1,9.33985000288462,0
0,1,0,8.10328780841202,10.1098306542788,10.8925428166486,7.62205181945638,9.15228484230658,6.74146698640115,9.211888294546,8.51963625284321,8.96289600533726,8.43462822763673,11.775198728898,7.12928301694497,9.69696752623429,10.894059846274,8.88874324889826,0,8.71080643369935,10.2585660338899,8.2045711442492,6.61470984411521,9.61654884377899,10.6829945836817,7.44294349584873,10.0647427647503,10.2419831496943,9.56224242422107,10.3342732853072,8.5077946401987,10.2632692003727,9.49185309632967,9.24317398347295,11.0320457269308,8.44294349584873,10.5117526537674,9.27612440527424,9.63481105017172,8.83920378809694,11.3026389237876,9.17741953798924,10.0251395622785,10.654636028528,8.46352437327118,10.1984450414524,11.2708792953288,10.3487281542311,9.56985560833095,9.86727873970966,8.59991284218713,9.17492568250068,11.6316318059176,8.63299519714296,6.02236781302845,11.3111806600534,9.65642486327778,9.99293833616581,8.06608919045777,10.007027266894,7.86418614465428,8.6582114827518,11.1254134704833,8.2807707701306,8.90989308377004,9.84392105128904,11.6803595235137,4.70043971814109,9.93073733756289,7.52356195605701,9.68123841177781,8.96578428466209,5.95419631038687,8.80413102118332,12.2983490156582,10.7747870596012,9.74146698640115,7.48381577726426,9.7632123668144,1,0,1,4.32192809488736,8.76818432477693,10.9181178510318,9.53332973230583,1.58496250072116,9.83605035505807,4.24792751344359,7.23840473932508,10.7548875021635,7.16992500144231,9,9.49385544924082,8.93957921431469,2.8073549220576,0,4.32192809488736,11.0112272554233,11.2378074737231,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1.58496250072116,0,1,0,1,1.58496250072116,1.58496250072116,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
0,12.5700928741881,14.7188539149106,9.38154295118458,9.76487159073609,11.4993476328766,8.30833903013941,11.8313072438021,7.97727992349992,10.3772105303886,7.59991284218713,9.52943055414615,11.2330204264745,8.85174904141606,8.92777796208234,11.1104833098162,11.025831668332,9.319672120947,5.4594316186373,9.03342300153745,10.7590559391602,8.55458885167764,10.9794251953315,10.7039035734447,10.0389189892923,10.3619437737352,10.1267044728432,9.63481105017172,9.55842071326866,9.08480838780436,9.05799172275918,10.8494051009478,8.40514146313634,9.24317398347295,11.9697462508145,10.4696418172395,10.4848228942621,8.60733031374961,10.0126245388651,9.48784003382305,10.6284455401372,8.96866679319521,9.49585502688717,11.5308939811939,7.98868468677217,10.5439984501345,10.6741922681457,8.70043971814109,7.66533591718518,11.2070143201775,8.39231742277876,10.0701209444768,11.115693952197,11.4792750302502,10.2336196767597,10.4817994316658,10.2550285698187,10.2057932493972,9.33315535031062,9.82017896241519,10.2443638351205,10.9417812422785,10.9248125036058,9.73640193131829,8.92777796208234,10.0781508077346,11.892163309862,8.71424551766612,8.96289600533726,9.9957671508778,9.35755200461808,9.63662462054365,10.6220518194564,12.007027266894,9.211888294546,4.24792751344359,8.4594316186373,10.0808175276083,10.3208005488816,10.4908508767403,11.0881256921882,9.82972273508606,10.9344280406268,8.82654848729091,10.2726297849764,9.90237511448603,8.12412131182919,9.23601419190008,11.1692986957928,8.11374216604919,10.0223678130285,7.17990909001493,8.98868468677217,8.04984854945056,9.58308276750293,9.74483383749955,10.753216749179,7.78135971352466,11.2437690319619,13.1503819688178,1.58496250072116,0,0,1.58496250072116,8.57742882803575,0,7.13955135239879,1.58496250072116,1,1,9.39660478118186,1,1,0,1,0,1.58496250072116,0,1,2,2,8.55842071326866,0,1,0,0,0,0,2,7.24792751344359,5.83289001416474,1,1,8.20945336562895,4.8073549220576,10.7099453802325,1,1,1,0
0,5.49185309632967,3.32192809488736,7.77478705960117,6.2667865406949,6.76818432477693,5.8073549220576,5.55458885167764,4.4594316186373,6.33985000288462,5.39231742277876,6.10852445677817,7.15987133677839,5.97727992349992,5.61470984411521,4,5.8073549220576,5.97727992349992,0,4.24792751344359,5.49185309632967,2,5.49185309632967,8.24317398347295,7.76155123244448,4.85798099512757,4.64385618977472,0,5.39231742277876,7.21916852046216,6.79441586635011,5.6724253419715,5.83289001416474,5.55458885167764,4.95419631038687,4.64385618977472,0,5.08746284125034,6.08746284125034,0,5.32192809488736,4.90689059560852,6.83289001416474,6.04439411935845,4.4594316186373,6.74146698640115,5.64385618977472,7.52356195605701,6.70043971814109,6.4262647547021,5.16992500144231,4.95419631038687,9.2807707701306,6.32192809488736,6.6724253419715,7.09803208296053,6.7279204545632,3.8073549220576,4.95419631038687,6.02236781302845,5.12928301694497,0,5.83289001416474,3.58496250072116,4.4594316186373,4.32192809488736,0,1,4.52356195605701,5.32192809488736,4.70043971814109,4.70043971814109,4.85798099512757,1,7.16992500144231,6.18982455888002,4.64385618977472,3.32192809488736,6.12928301694497,6.04439411935845,5.39231742277876,0,4.39231742277876,5.52356195605701,4.70043971814109,3.58496250072116,4.4594316186373,5.85798099512757,6.94251450533924,5.32192809488736,4.85798099512757,5.58496250072116,4.4594316186373,1,7.4178525148859,0,0,3.4594316186373,3.16992500144231,5.64385618977472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.32192809488736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.35755200461808,8.06608919045777,0,4.75488750216347,3.58496250072116,4.75488750216347,3.58496250072116,3.32192809488736,3.32192809488736,4.16992500144231,2.8073549220576,5.12928301694497,5.35755200461808,4.85798099512757,4.39231742277876,4.4594316186373,5.32192809488736,5.28540221886225,3.58496250072116,3,3.8073549220576,3.4594316186373,3.70043971814109,5.32192809488736,5.4594316186373,3.32192809488736,3.16992500144231,3.58496250072116,2.8073549220576,5.4594316186373,3.58496250072116,5.75488750216347,3.4594316186373,4.24792751344359,5,3.32192809488736,5.12928301694497,3.16992500144231,5.39231742277876,3.32192809488736,5.24792751344359,5.04439411935845,5.16992500144231,5.7279204545632,3.90689059560852,5.52356195605701,6.35755200461808,3.16992500144231,2.58496250072116,4.90689059560852,4,4.70043971814109,6.3037807481771,3.58496250072116,4.08746284125034,4.95419631038687,4.24792751344359,5.52356195605701,4,4.08746284125034,1,4.8073549220576,3.70043971814109,4.58496250072116,3.58496250072116,4.16992500144231,5.16992500144231,5.20945336562895,0,5.52356195605701,3.90689059560852,5.90689059560852,4.95419631038687,3.58496250072116,4.75488750216347,4.4594316186373,4.24792751344359,3.16992500144231,0,0,0,0,0,2,5.16992500144231,0,3.58496250072116,4.8073549220576,2.32192809488736,3.16992500144231,6.14974711950468,4.4594316186373,4.52356195605701,4.75488750216347,4.24792751344359,5.90689059560852,3.58496250072116,1,3.70043971814109,4.75488750216347,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
10.2288186904959,0,0,8.73809225962049,6.79441586635011,8.89178370321831,9.29232163280204,10.3793783670713,0,8.65463602852797,10.5830827675029,8.00562454919388,8.49185309632967,10.1305705628054,7.20945336562895,7.17990909001493,9.88417051910844,7.85174904141606,8.06608919045777,8.13442632022093,1,0,9.15228484230658,2,8.88569637333939,10.5284541107648,4.24792751344359,0,9.8008998999203,6.59991284218713,10.0265234425198,11.4752267777423,8.35314682549808,8.63299519714296,10.1598713367784,7.66533591718518,1,8.17492568250068,11.1516508299734,9.89330153086056,11.3241805466187,1,10.5420645422834,11.2726297849764,9.25738784269265,9.3037807481771,12.0811505212719,8.24792751344359,10.3387363825739,10.4614794472862,0,8.8073549220576,9.83920378809694,9.39874369193819,0,9.2667865406949,8.87344411251538,11.1000052244227,10.4346282276367,11.0748104611605,9.43254190038826,9.76818432477693,9.89481776330794,10.3509391815464,9.87805091272854,1,10.3858624006415,6.97727992349992,6.85798099512757,9.61286849729104,7.25738784269265,8.96000193206808,8.58120058192496,10.2312211807112,8.60362634498619,11.2638560195961,10.2021238238305,9.58120058192496,8.18982455888002,8.53138146051631,10.5933911227917,8.14465824283188,9.49585502688717,8.91288933622996,1.58496250072116,10.0402897210257,10.5736471874933,10.6156296369681,11.6648916692861,11.7013064619586,8.5077946401987,9.81378119121704,9.17990909001493,8.94544383637791,10.3162815317462,8.37068740680722,8.9915218460757,9.1006623390052,11.8993569229231,11.2384047393251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.32192809488736,0,7.78790255939143,0,1.58496250072116,8.90689059560852,1.58496250072116,0,0,0,0
0,0,0,8.60362634498619,9.49785183695112,8.39660478118186,6.28540221886225,9.03342300153745,8.66888498426625,4.24792751344359,7.89481776330794,1,9.98013957763916,8.47167521439204,7.07681559705083,8.99717948093762,10.1098306542788,8.37937836707126,6.53915881110803,0,9.68825030913318,0,8.37937836707126,8.95419631038687,6.18982455888002,8.91886323727459,2.32192809488736,0,8.30833903013941,1.58496250072116,8.74819284958946,8.66533591718518,6.70043971814109,8.86418614465428,10.7681843247769,8.4757334309664,8.88874324889826,7.53915881110803,8.59245703726808,1,5.08746284125034,7.21916852046216,9.64024493622235,9.52356195605701,9.81378119121704,8.24317398347295,10.0320457269308,8.2336196767597,7.70043971814109,10.2384047393251,6.49185309632967,7.24792751344359,12.4548133485125,9.59432460392485,9.37286506011259,9.06877827798541,2.32192809488736,9.60177078840771,1.58496250072116,8.07146236255662,9.9957671508778,0,8.60733031374961,8.70390357344466,8.55074678538324,8.2240016741981,10.664447284548,6.85798099512757,9.15987133677839,8.89178370321831,8.65105169117893,7.71424551766612,9.33091687811462,9.59991284218713,10.2419831496943,6.85798099512757,8.41362792902417,9.83920378809694,7.83289001416474,7.467605550083,7.17990909001493,0,6.44294349584873,0,9.99717948093762,9.38154295118458,8.22881869049588,7.82017896241519,9.56224242422107,7.89481776330794,2,8.4178525148859,7.06608919045777,9.24317398347295,8.28540221886225,3.58496250072116,0,6.75488750216347,1.58496250072116,10.3420746679991,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,5.24792751344359,4.95419631038687,6.89481776330794,6.61470984411521,5.8073549220576,0,0,0,4.52356195605701,5.28540221886225,4.4594316186373,3.70043971814109,6.56985560833095,5.7279204545632,3.4594316186373,2.58496250072116,6.83289001416474,5.12928301694497,8.15987133677839,3.8073549220576,5.39231742277876,6.74146698640115,6.24792751344359,5.88264304936184,5.52356195605701,4.8073549220576,5.4262647547021,5.88264304936184,4.95419631038687,2.8073549220576,5.78135971352466,5.95419631038687,5.70043971814109,1,5.7279204545632,5.24792751344359,5.04439411935845,7.31288295528436,4.64385618977472,6.52356195605701,6,7.15987133677839,6.61470984411521,5.16992500144231,5.16992500144231,5.4262647547021,7.74146698640115,5.12928301694497,6.6724253419715,8.467605550083,6.06608919045777,7.11894107272351,7.66533591718518,5.83289001416474,5.97727992349992,6.06608919045777,5.04439411935845,6.49185309632967,5.04439411935845,6.78135971352466,5.12928301694497,4.24792751344359,5.93073733756289,7.31288295528436,4.95419631038687,3.4594316186373,4.85798099512757,6.16992500144231,4.39231742277876,0,7.86418614465428,8.06069593168755,8.77478705960117,4.85798099512757,8.06069593168755,0,3,5.58496250072116,3.90689059560852,5.04439411935845,5.20945336562895,6.85798099512757,6.6724253419715,5.49185309632967,0,6.59991284218713,5.12928301694497,4.08746284125034,6.4262647547021,5.4594316186373,4.90689059560852,7.19967234483636,5.24792751344359,6.61470984411521,6.59991284218713,5.32192809488736,8.10328780841202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58496250072116,0,7.18982455888002,0,0,0,0
0,0,0,6.3037807481771,4.75488750216347,5.24792751344359,5.6724253419715,5.70043971814109,5.24792751344359,7.6724253419715,4.58496250072116,3.4594316186373,4.16992500144231,7.59991284218713,4.39231742277876,5.4594316186373,7.32192809488736,4.4594316186373,1,4.08746284125034,5.95419631038687,4.85798099512757,4.95419631038687,5.08746284125034,7.35755200461808,8.14465824283188,8.17492568250068,3.58496250072116,3.8073549220576,5.7279204545632,4.24792751344359,4.08746284125034,4.16992500144231,3.8073549220576,8.69348695749933,8.06608919045777,6.79441586635011,4.52356195605701,6.7279204545632,3.4594316186373,4.16992500144231,3.32192809488736,7.62205181945638,5.20945336562895,4.95419631038687,2.58496250072116,8.09275714091985,5.70043971814109,4.39231742277876,5.55458885167764,4,4.58496250072116,8.2336196767597,5.39231742277876,4.52356195605701,5.8073549220576,4.85798099512757,4.8073549220576,3,4.64385618977472,5.58496250072116,4.16992500144231,5.28540221886225,4.24792751344359,7.07681559705083,5.04439411935845,6.59991284218713,4.52356195605701,5.4594316186373,3.4594316186373,4.08746284125034,5.55458885167764,5.35755200461808,5.70043971814109,7.83289001416474,9.94397991434374,5.39231742277876,6.55458885167764,2.58496250072116,0,3.8073549220576,0,0,4.58496250072116,6.4093909361377,7.44294349584873,3,3.70043971814109,8.51569983828404,5.8073549220576,5.28540221886225,3.90689059560852,4.32192809488736,4.16992500144231,4.90689059560852,4.08746284125034,0,1.58496250072116,5.70043971814109,8.69348695749933,1,1,0,1,0,0,0,1,0,0,1,0,0,3.16992500144231,0,0,1,0,1,1,2,0,0,1,0,0,0,0,1,0,5.4594316186373,0,1,3.70043971814109,0,1,0,0,0,0
