ARI,Dataset,Fraction
0.8672699,Deng,30
0.6897534,Deng,30
0.7266555,Deng,30
0.6615806,Deng,30
0.6859331,Deng,30
0.6317049,Deng,30
0.7167878,Deng,30
0.782715,Deng,30
0.7644652,Deng,30
0.8133554,Deng,30
0.6952807,Deng,30
0.6919718,Deng,30
0.7809504,Deng,30
0.5785895,Deng,30
0.7481124,Deng,30
0.8158669,Deng,30
0.9048486,Deng,30
0.7887501,Deng,30
0.8859907,Deng,30
0.83747,Deng,30
0.8389993,Deng,30
0.7742054,Deng,30
0.707696,Deng,30
0.7088091,Deng,30
0.7849888,Deng,30
0.7562105,Deng,30
0.7897587,Deng,30
0.8552003,Deng,30
0.7604501,Deng,30
0.7084329,Deng,30
0.6846158,Deng,30
0.8235287,Deng,30
0.7846693,Deng,30
0.6475379,Deng,30
0.7161645,Deng,30
0.6738412,Deng,30
0.8786837,Deng,30
0.9002299,Deng,30
0.6266985,Deng,30
0.7453837,Deng,30
0.7764418,Deng,30
0.5608296,Deng,30
0.900889,Deng,30
0.7973154,Deng,30
0.8087642,Deng,30
0.625318,Deng,30
0.7123959,Deng,30
0.8377297,Deng,30
0.7451835,Deng,30
0.8034907,Deng,30
0.6924251,Deng,30
0.8447497,Deng,30
0.7832795,Deng,30
0.8509716,Deng,30
0.5806017,Deng,30
0.6724179,Deng,30
0.6406321,Deng,30
0.684354,Deng,30
0.5985247,Deng,30
0.7593589,Deng,30
0.8941293,Deng,30
0.7479764,Deng,30
0.673277,Deng,30
0.7539319,Deng,30
0.8064264,Deng,30
0.6469907,Deng,30
0.6779371,Deng,30
0.8590214,Deng,40
0.7820806,Deng,40
0.7334292,Deng,40
0.8555335,Deng,40
0.9191683,Deng,40
0.7005008,Deng,40
0.8369639,Deng,40
0.6342395,Deng,40
0.9084018,Deng,40
0.9174983,Deng,40
0.8654865,Deng,40
0.8318044,Deng,40
0.8580271,Deng,40
0.878761,Deng,40
0.8989446,Deng,40
0.8938007,Deng,40
0.8260788,Deng,40
0.914415,Deng,40
0.8931887,Deng,40
0.8487304,Deng,40
0.924431,Deng,40
0.846658,Deng,40
0.9659575,Deng,40
0.8244982,Deng,40
0.888724,Deng,40
0.9305069,Deng,40
0.7106521,Deng,40
0.927964,Deng,40
0.759844,Deng,40
0.9104755,Deng,40
0.8864753,Deng,40
0.7049873,Deng,40
0.9128978,Deng,40
0.8737342,Deng,40
0.7892351,Deng,40
