Dataset,d
Usoskin,4.66237942122186
Usoskin,4.82315112540193
Usoskin,4.98392282958199
Usoskin,5.94855305466238
Usoskin,3.53697749196141
Usoskin,3.69774919614148
Usoskin,3.85852090032154
Usoskin,4.01929260450161
Usoskin,4.18006430868167
Usoskin,4.34083601286174
Usoskin,4.5016077170418
Usoskin,4.66237942122186
Usoskin,4.82315112540193
Usoskin,4.98392282958199
Usoskin,5.94855305466238
Usoskin,6.91318327974277
Usoskin,7.87781350482315
Usoskin,8.84244372990354
Usoskin,9.80707395498392
Usoskin,10.7717041800643
Usoskin,11.7363344051447
Usoskin,12.7009646302251
Zeisel,1.66389351081531
Zeisel,3.32778702163062
Zeisel,0.732113144758735
Zeisel,0.86522462562396
Zeisel,0.998336106489185
Zeisel,1.66389351081531
Zeisel,0.332778702163062
Zeisel,0.465890183028286
Zeisel,0.86522462562396
Zeisel,0.998336106489185
Zeisel,1.66389351081531
Zeisel,0.86522462562396
Zeisel,0.998336106489185
Zeisel,4.99168053244592
Zeisel,6.65557404326123
Zeisel,8.31946755407654
Zeisel,13.3111480865225
Zeisel,14.9750415973378
Zeisel,16.6389351081531
Zeisel,18.3028286189684
Zeisel,19.9667221297837
Zeisel,21.630615640599
Zeisel,23.2945091514143
Zeisel,0.732113144758735
Zeisel,0.86522462562396
Zeisel,0.998336106489185
Zeisel,1.66389351081531
Zeisel,3.32778702163062
Zeisel,14.9750415973378
Zeisel,16.6389351081531
Zeisel,18.3028286189684
Zeisel,19.9667221297837
